longitude_list,latitude_list,sflux_data_list
45.0,-65.0,4.7007676595305774e-14
45.0,-60.0,4.731958905562003e-14
45.0,-55.0,1.801234617735906e-14
45.0,-50.0,1.6494618201477457e-14
45.0,-45.0,1.3762388054002935e-14
45.0,-40.0,1.7000984745825592e-14
45.0,-35.0,1.554412894468919e-13
45.0,-30.0,7.548423738393922e-14
45.0,-25.0,8.872696456692012e-14
45.0,-20.0,3.5246395684629143e-14
45.0,-15.0,7.948301052509956e-14
45.0,-10.0,1.896957959567378e-13
45.0,-5.0,5.435432884910961e-14
45.0,0.0,2.7344020568381746e-12
45.0,5.0,3.274572468483384e-14
45.0,10.0,8.229578498736023e-14
45.0,15.0,3.687235007486625e-13
45.0,20.0,3.403316355338332e-13
45.0,25.0,2.2646330970503885e-13
45.0,30.0,3.0628022928291434e-13
45.0,35.0,2.2110728454177797e-13
45.0,40.0,2.3740283059369095e-13
45.0,45.0,2.679615146796058e-13
45.0,50.0,1.8837765346415683e-13
45.0,55.0,1.6320291530660662e-13
45.0,60.0,6.524843272453571e-14
45.0,65.0,8.404701685814868e-14
45.0,70.0,9.74472646104711e-14
45.0,75.0,7.977552620766178e-14
45.0,80.0,8.521687637666432e-14
45.0,85.0,8.267256295678812e-14
45.0,90.0,7.731334004579847e-14
50.0,-90.0,1.656027526828101e-14
50.0,-85.0,8.481219105007443e-15
50.0,-80.0,7.720126919494473e-15
50.0,-75.0,1.6387665173775822e-14
50.0,-70.0,1.891447283754401e-14
50.0,-65.0,2.531174651148823e-14
50.0,-60.0,4.452410091190631e-14
50.0,-55.0,2.1179516104334014e-14
50.0,-50.0,1.1766440979660798e-14
50.0,-45.0,9.344064473207112e-15
50.0,-40.0,1.6579495987464142e-14
50.0,-35.0,1.3390398770999735e-14
50.0,-30.0,4.361105234188008e-13
50.0,-25.0,8.445995849440813e-14
50.0,-20.0,3.348370126400681e-14
50.0,-15.0,6.797162161765988e-14
50.0,-10.0,1.0829543965941373e-13
50.0,-5.0,3.8769766469792513e-13
50.0,0.0,1.4202635778037096e-16
50.0,5.0,1.16447352078725e-14
50.0,10.0,3.513792594008297e-13
50.0,15.0,3.027851572811108e-13
50.0,20.0,3.0820525047837524e-13
50.0,25.0,2.0451754942674596e-13
50.0,30.0,1.4552059296099224e-13
50.0,35.0,2.2283375281751976e-13
50.0,40.0,1.6034589559251767e-13
50.0,45.0,2.072121959684132e-13
50.0,50.0,1.7972493445585954e-13
50.0,55.0,6.108737163606026e-14
50.0,60.0,6.463083664103254e-14
50.0,65.0,6.95853077647205e-14
50.0,70.0,9.340842278013028e-14
50.0,75.0,8.025247924882127e-14
50.0,80.0,8.444343981030183e-14
50.0,85.0,8.105897667469505e-14
50.0,90.0,7.731334004579847e-14
55.0,-90.0,1.656027526828101e-14
55.0,-85.0,8.570980357397105e-15
55.0,-80.0,7.815896575633196e-15
55.0,-75.0,1.7154855243889508e-14
55.0,-70.0,1.7588004541267283e-14
55.0,-65.0,1.752261160356768e-14
55.0,-60.0,3.6128484894308846e-14
55.0,-55.0,1.3043882874421096e-14
55.0,-50.0,1.0188160469547453e-14
55.0,-45.0,9.61054537936738e-15
55.0,-40.0,1.2378765056305441e-14
55.0,-35.0,1.3788891149183336e-14
55.0,-30.0,1.3062682295342885e-14
55.0,-25.0,6.407521883740524e-14
55.0,-20.0,4.594121495967801e-14
55.0,-15.0,1.2598189486243574e-13
55.0,-10.0,6.755840719288733e-14
55.0,-5.0,1.2693484616874888e-13
55.0,0.0,1.1061834448052435e-13
55.0,5.0,2.4382374003915383e-14
55.0,10.0,3.814392104794388e-14
55.0,15.0,3.0281581161855064e-14
55.0,20.0,2.4387855067282705e-13
55.0,25.0,6.981044361495482e-14
55.0,30.0,5.204736579535064e-14
55.0,35.0,7.51323651994261e-14
55.0,40.0,6.106862066530264e-14
55.0,45.0,1.0400945706965914e-13
55.0,50.0,7.097352311246842e-14
55.0,55.0,6.16765489882146e-14
55.0,60.0,6.292122973283357e-14
55.0,65.0,6.5224578725779e-14
55.0,70.0,7.584191814649498e-14
55.0,75.0,7.820475362657171e-14
55.0,80.0,8.189387723151309e-14
55.0,85.0,8.040655129016147e-14
55.0,90.0,7.731334004579847e-14
60.0,-90.0,1.656027526828101e-14
60.0,-85.0,8.591181154168448e-15
60.0,-80.0,7.879461972016165e-15
60.0,-75.0,1.5714645686335465e-14
60.0,-70.0,1.5365820652003926e-14
60.0,-65.0,1.5194301846054234e-14
60.0,-60.0,2.2485841905966437e-14
60.0,-55.0,1.2124388744477513e-14
60.0,-50.0,8.64836764767207e-15
60.0,-45.0,1.2191069347090542e-14
60.0,-40.0,1.590125104304182e-14
60.0,-35.0,1.729349904963633e-14
60.0,-30.0,1.6183200318054304e-14
60.0,-25.0,1.758523626755251e-14
60.0,-20.0,2.1559755583257782e-14
60.0,-15.0,1.279675087646219e-13
60.0,-10.0,2.455960773756277e-14
60.0,-5.0,3.262057922502423e-14
60.0,0.0,2.9154252443949455e-19
60.0,5.0,3.28865809539759e-14
60.0,10.0,3.0985206057331654e-14
60.0,15.0,2.4247348389098995e-14
60.0,20.0,2.8353796073940887e-14
60.0,25.0,3.6305851950223427e-14
60.0,30.0,3.145485029026834e-14
60.0,35.0,2.48777132841716e-14
60.0,40.0,3.6467492238173476e-14
60.0,45.0,4.60551526732077e-14
60.0,50.0,4.6510463455807435e-14
60.0,55.0,4.9225203011526704e-14
60.0,60.0,4.670742390762709e-14
60.0,65.0,4.49400922673692e-14
60.0,70.0,5.2343978181450173e-14
60.0,75.0,6.086053262710226e-14
60.0,80.0,8.149907403997452e-14
60.0,85.0,8.246072633017846e-14
60.0,90.0,7.731334004579847e-14
65.0,-90.0,1.656027526828101e-14
65.0,-85.0,8.89491039768723e-15
65.0,-80.0,1.0720690252848852e-14
65.0,-75.0,1.0396857373318277e-14
65.0,-70.0,1.509618889629363e-14
65.0,-65.0,1.2955180085656195e-14
65.0,-60.0,1.2221469120281243e-14
65.0,-55.0,8.734453964703322e-15
65.0,-50.0,1.0612737928350737e-14
65.0,-45.0,1.5692513533889164e-14
65.0,-40.0,2.1377444125211542e-14
65.0,-35.0,2.158968570774363e-14
65.0,-30.0,1.8658745706066938e-14
65.0,-25.0,2.021235572439794e-14
65.0,-20.0,2.5507188111110306e-14
65.0,-15.0,2.627791668071851e-14
65.0,-10.0,2.152073990453695e-14
65.0,-5.0,6.37183364565045e-15
65.0,0.0,6.42066998223347e-19
65.0,5.0,3.5715680033406164e-14
65.0,10.0,2.752073938432134e-14
65.0,15.0,1.912769375808125e-14
65.0,20.0,2.0218371041566243e-14
65.0,25.0,2.3720016499783747e-14
65.0,30.0,2.429323997055165e-14
65.0,35.0,1.9380057445026197e-14
65.0,40.0,4.137003118315855e-14
65.0,45.0,2.9155881994183686e-14
65.0,50.0,3.1696499477728894e-14
65.0,55.0,3.796188187868214e-14
65.0,60.0,3.3142607194612265e-14
65.0,65.0,4.0765493980138764e-14
65.0,70.0,5.172324880940453e-14
65.0,75.0,5.153967479503274e-14
65.0,80.0,8.272156770224944e-14
65.0,85.0,8.179883801094749e-14
65.0,90.0,7.731334004579847e-14
70.0,-90.0,1.656027526828101e-14
70.0,-85.0,8.92097352071693e-15
70.0,-80.0,1.088179676953546e-14
70.0,-75.0,1.1008432939095087e-14
70.0,-70.0,1.3479537626898099e-14
70.0,-65.0,1.0653508533523454e-14
70.0,-60.0,9.049269946958314e-15
70.0,-55.0,8.959505696522645e-15
70.0,-50.0,1.6199379789919788e-14
70.0,-45.0,1.869589041802412e-14
70.0,-40.0,2.3851153870224607e-14
70.0,-35.0,2.6162934120356367e-14
70.0,-30.0,2.5168779466796977e-14
70.0,-25.0,2.6153352287355853e-14
70.0,-20.0,3.0366188368779037e-14
70.0,-15.0,3.279497160451563e-14
70.0,-10.0,2.7542916804801308e-14
70.0,-5.0,7.350433661539128e-15
70.0,0.0,1.585663823924424e-18
70.0,5.0,2.1146422577830033e-14
70.0,10.0,3.3551224371899557e-14
70.0,15.0,2.0024942844225615e-14
70.0,20.0,1.8351864567529337e-14
70.0,25.0,2.191931484108124e-14
70.0,30.0,1.9084593762367282e-14
70.0,35.0,2.045266484355775e-14
70.0,40.0,3.4855088528082836e-14
70.0,45.0,3.249018294428722e-14
70.0,50.0,2.4607012046808457e-14
70.0,55.0,2.5505077035717583e-14
70.0,60.0,3.056121966694186e-14
70.0,65.0,4.385797677740426e-14
70.0,70.0,3.6272416928120534e-14
70.0,75.0,5.0424569370503713e-14
70.0,80.0,8.111340238440706e-14
70.0,85.0,8.878577625566088e-14
70.0,90.0,7.731334004579847e-14
75.0,-90.0,1.656027526828101e-14
75.0,-85.0,8.884035346296041e-15
75.0,-80.0,7.270390981185291e-15
75.0,-75.0,8.796062257622717e-15
75.0,-70.0,1.0436323672565347e-14
75.0,-65.0,9.775917637669405e-15
75.0,-60.0,8.362551263104164e-15
75.0,-55.0,7.60433556119169e-15
75.0,-50.0,1.3286090380272617e-14
75.0,-45.0,1.9923966161768438e-14
75.0,-40.0,2.5288910565020342e-14
75.0,-35.0,2.710750432552739e-14
75.0,-30.0,2.687324229000031e-14
75.0,-25.0,3.2098361660403416e-14
75.0,-20.0,3.352300150372821e-14
75.0,-15.0,3.649086607382986e-14
75.0,-10.0,3.2627402958668544e-14
75.0,-5.0,1.2798883001282542e-14
75.0,0.0,1.964981561013957e-18
75.0,5.0,5.823976369398218e-14
75.0,10.0,3.585701375213484e-14
75.0,15.0,2.0274792670965987e-14
75.0,20.0,2.3814542139089766e-14
75.0,25.0,2.3919888611172806e-14
