longitude_list,latitude_list,OVII_column_number_density_integrate_data_list
30.0,-85.0,14.904465091736053
30.0,-80.0,14.889022842104637
30.0,-75.0,14.901158301191415
30.0,-70.0,15.062585252907045
30.0,-65.0,14.938910878183673
30.0,-60.0,14.96152990008034
30.0,-55.0,14.992468165530319
30.0,-50.0,15.084553535756557
30.0,-45.0,15.175943359560328
30.0,-40.0,15.224566920847987
30.0,-35.0,15.328114635278768
30.0,-30.0,15.371745439902092
30.0,-25.0,15.627587374632503
30.0,-20.0,15.728673361214742
30.0,-15.0,15.775765629349758
30.0,-10.0,15.863002397092508
30.0,-5.0,15.363141529395191
30.0,0.0,14.076308166533028
30.0,5.0,15.272454191486561
30.0,10.0,15.38135930884925
30.0,15.0,15.452076597038293
30.0,20.0,15.414153515031932
30.0,25.0,15.315544643887142
30.0,30.0,15.205930805799158
30.0,35.0,15.267444899385303
30.0,40.0,15.333005017169954
30.0,45.0,15.32264298793529
30.0,50.0,15.332138598877101
30.0,55.0,15.345075181482516
30.0,60.0,15.277315066016943
30.0,65.0,15.28173281439033
30.0,70.0,15.208363452498018
30.0,75.0,15.260454680751632
30.0,80.0,15.208821286587034
30.0,85.0,15.159014746077657
30.0,90.0,15.252713668975785
35.0,-90.0,15.01682091453129
35.0,-85.0,14.913661536725334
35.0,-80.0,14.832097303750595
35.0,-75.0,14.88918743261654
35.0,-70.0,15.123165590742223
35.0,-65.0,14.956926548176199
35.0,-60.0,14.971747815434965
35.0,-55.0,15.092911625873889
35.0,-50.0,15.227377139039746
35.0,-45.0,15.195603936000039
35.0,-40.0,15.17503342405
35.0,-35.0,15.373169891497147
35.0,-30.0,15.539809032299935
35.0,-25.0,15.617144485752629
35.0,-20.0,15.63065220512688
35.0,-15.0,15.724146991846284
35.0,-10.0,15.755173776920543
35.0,-5.0,15.854739403569193
35.0,0.0,16.508291163391732
35.0,5.0,15.6306370739867
35.0,10.0,15.46874898766567
35.0,15.0,15.420896498252946
35.0,20.0,15.513121188993784
35.0,25.0,15.469031996365983
35.0,30.0,15.357215664301684
35.0,35.0,15.334161446515516
35.0,40.0,15.364272228228552
35.0,45.0,15.406877275130935
35.0,50.0,15.367283382162512
35.0,55.0,15.335026268455762
35.0,60.0,15.27653423912669
35.0,65.0,15.314082083172362
35.0,70.0,15.253024972668886
35.0,75.0,15.28417051765754
35.0,80.0,15.224509371941423
35.0,85.0,15.187747470562845
35.0,90.0,15.252713668975785
40.0,-90.0,15.01682091453129
40.0,-85.0,14.922635571415263
40.0,-80.0,14.86944110280532
40.0,-75.0,14.896065466901401
40.0,-70.0,15.096288632191406
40.0,-65.0,14.963532169844472
40.0,-60.0,14.949396992616748
40.0,-55.0,15.08886318775293
40.0,-50.0,15.177390922932158
40.0,-45.0,15.109920782229665
40.0,-40.0,15.118834382577827
40.0,-35.0,15.222659658935994
40.0,-30.0,15.384857735780836
40.0,-25.0,15.501383771739732
40.0,-20.0,15.612408102487622
40.0,-15.0,15.710494400696037
40.0,-10.0,15.681013467215775
40.0,-5.0,15.66068852299188
40.0,0.0,15.602430045692005
40.0,5.0,15.377873325339534
40.0,10.0,15.618423727937678
40.0,15.0,15.404584615216516
40.0,20.0,15.552089429375178
40.0,25.0,15.491308987488662
40.0,30.0,15.44507435945825
40.0,35.0,15.453434460260771
40.0,40.0,15.437276084478244
40.0,45.0,15.47244771909265
40.0,50.0,15.352226479758379
40.0,55.0,15.368249250939527
40.0,60.0,15.305676857778886
40.0,65.0,15.32202326444395
40.0,70.0,15.282262442256595
40.0,75.0,15.309668664779409
40.0,80.0,15.246167453873214
40.0,85.0,15.201043863913009
40.0,90.0,15.252713668975785
45.0,-90.0,15.01682091453129
45.0,-85.0,14.903360149655411
45.0,-80.0,14.873286506935525
45.0,-75.0,14.874656515270253
45.0,-70.0,15.005622796960852
45.0,-65.0,15.066645673424484
45.0,-60.0,14.984617224621454
45.0,-55.0,15.06575930979808
45.0,-50.0,15.152313984458823
45.0,-45.0,15.096916237928932
45.0,-40.0,15.220606563939407
45.0,-35.0,15.282244739091823
45.0,-30.0,15.42902966981051
45.0,-25.0,15.524795638966223
45.0,-20.0,15.661190947221018
45.0,-15.0,15.534232357453885
45.0,-10.0,15.402763067814393
45.0,-5.0,15.595886399142026
45.0,0.0,15.87135228160862
45.0,5.0,15.581406187103106
45.0,10.0,15.359880671955079
45.0,15.0,15.46268558918866
45.0,20.0,15.558209492202792
45.0,25.0,15.530710456536452
45.0,30.0,15.510493798166035
45.0,35.0,15.49517607959463
45.0,40.0,15.529472954878303
45.0,45.0,15.475833739216704
45.0,50.0,15.341915721252617
45.0,55.0,15.385931477240765
45.0,60.0,15.343230988109251
45.0,65.0,15.333838415492108
45.0,70.0,15.298106531382835
45.0,75.0,15.334044756938024
45.0,80.0,15.256608071219967
45.0,85.0,15.204664196378841
45.0,90.0,15.252713668975785
50.0,-90.0,15.01682091453129
50.0,-85.0,14.91206353832824
50.0,-80.0,14.898603220244809
50.0,-75.0,14.88375286194429
50.0,-70.0,14.90869186581283
50.0,-65.0,15.05768411441013
50.0,-60.0,15.005443463092709
50.0,-55.0,15.121833497718079
50.0,-50.0,15.157571714473477
50.0,-45.0,15.231306509084856
50.0,-40.0,15.439575126398246
50.0,-35.0,15.566867846923634
50.0,-30.0,15.56396075161708
50.0,-25.0,15.503143045184318
50.0,-20.0,15.403910775381561
50.0,-15.0,15.377772359502568
50.0,-10.0,15.353029280255752
50.0,-5.0,15.535025746814075
50.0,0.0,14.45216329053975
50.0,5.0,15.29052001047014
50.0,10.0,15.312008300376615
50.0,15.0,15.512879381369597
50.0,20.0,15.623272042902634
50.0,25.0,15.589546185831875
50.0,30.0,15.559344277603328
50.0,35.0,15.537495292559704
50.0,40.0,15.538476939444116
50.0,45.0,15.439416313603354
50.0,50.0,15.380923670173813
50.0,55.0,15.373727176787414
50.0,60.0,15.329904416753243
50.0,65.0,15.329479679106143
50.0,70.0,15.310261113356257
50.0,75.0,15.24688575983487
50.0,80.0,15.263790059291123
50.0,85.0,15.209837974863307
50.0,90.0,15.252713668975785
55.0,-90.0,15.01682091453129
55.0,-85.0,14.916290319849578
55.0,-80.0,14.898452405932423
55.0,-75.0,14.89960755487121
55.0,-70.0,14.874198204037894
55.0,-65.0,15.016829108804037
55.0,-60.0,15.058702613728885
55.0,-55.0,15.14229924636989
55.0,-50.0,15.21786178894206
55.0,-45.0,15.330381649572871
55.0,-40.0,15.46123653597783
55.0,-35.0,15.44568098096551
55.0,-30.0,15.365808221867121
55.0,-25.0,15.308482552224511
55.0,-20.0,15.356793679424738
55.0,-15.0,15.471371414146345
55.0,-10.0,15.527283765642464
55.0,-5.0,15.389828943981069
55.0,0.0,14.355331154230107
55.0,5.0,15.287358313171637
55.0,10.0,15.278475684173635
55.0,15.0,15.40830825808429
55.0,20.0,15.568239297643112
55.0,25.0,15.581385461002435
55.0,30.0,15.536972420664426
