longitude_list,latitude_list,OVIII_column_number_density_integrate_data_list
30.0,-35.0,14.782744591844155
30.0,-30.0,14.875057059897243
30.0,-25.0,14.79768091155654
30.0,-20.0,14.72377863397741
30.0,-15.0,14.570983251173995
30.0,-10.0,14.576308456996268
30.0,-5.0,14.427923078112721
30.0,0.0,14.509564458928219
30.0,5.0,14.071381203789848
30.0,10.0,14.499578581260742
30.0,15.0,14.583138449569367
30.0,20.0,14.40473083180635
30.0,25.0,14.322292257804557
30.0,30.0,14.366549784494085
30.0,35.0,14.323185626293638
30.0,40.0,14.28954369394335
30.0,45.0,14.422639128000897
30.0,50.0,14.299755177970589
30.0,55.0,14.305135295261994
30.0,60.0,14.372274739613536
30.0,65.0,14.382336500555864
30.0,70.0,14.429350449937028
30.0,75.0,14.479259035587026
30.0,80.0,14.526731032549982
30.0,85.0,14.546706002721946
30.0,90.0,14.534958148663772
35.0,-90.0,14.405611173066939
35.0,-85.0,14.325903562737247
35.0,-80.0,14.38575400464002
35.0,-75.0,14.396675918638122
35.0,-70.0,14.471725779954912
35.0,-65.0,14.451079490461005
35.0,-60.0,14.395590203735821
35.0,-55.0,14.476532977129759
35.0,-50.0,14.597478288178875
35.0,-45.0,14.609883095235324
35.0,-40.0,14.725527398199631
35.0,-35.0,14.862536421491857
35.0,-30.0,14.88189843372788
35.0,-25.0,14.846338664283024
35.0,-20.0,14.662658782088979
35.0,-15.0,14.500779858427284
35.0,-10.0,14.645516152940846
35.0,-5.0,15.308117480476554
35.0,0.0,15.693202808749454
35.0,5.0,14.841542816102743
35.0,10.0,14.362971541497775
35.0,15.0,14.576433480041747
35.0,20.0,14.522084295789028
35.0,25.0,14.434047848415771
35.0,30.0,14.498306533709885
35.0,35.0,14.480126116901674
35.0,40.0,14.435948373855465
35.0,45.0,14.38674271255918
35.0,50.0,14.329338855993583
35.0,55.0,14.360168890257945
35.0,60.0,14.448428120891018
35.0,65.0,14.42696909359829
35.0,70.0,14.439155759543233
35.0,75.0,14.482246749647162
35.0,80.0,14.52218972671479
35.0,85.0,14.54140048960014
35.0,90.0,14.534958148663772
40.0,-90.0,14.405611173066939
40.0,-85.0,14.342894353680949
40.0,-80.0,14.382622638381978
40.0,-75.0,14.428006245694423
40.0,-70.0,14.49613185557167
40.0,-65.0,14.4425232828979
40.0,-60.0,14.35495373806305
40.0,-55.0,14.463454909325769
40.0,-50.0,14.536463564469202
40.0,-45.0,14.616304194086053
40.0,-40.0,14.691167616786542
40.0,-35.0,14.820347281461267
40.0,-30.0,14.879530476481428
40.0,-25.0,14.875970824633692
40.0,-20.0,14.73974828094048
40.0,-15.0,14.630479744315119
40.0,-10.0,14.632792610792473
40.0,-5.0,14.419681484341169
40.0,0.0,15.188639676563
40.0,5.0,14.45327005830472
40.0,10.0,14.457969133149417
40.0,15.0,14.529931021985542
40.0,20.0,14.53420655230307
40.0,25.0,14.509824023199274
40.0,30.0,14.491973481300127
40.0,35.0,14.52647086961489
40.0,40.0,14.502019354180458
40.0,45.0,14.385381177247691
40.0,50.0,14.413844751960115
40.0,55.0,14.437548938843396
40.0,60.0,14.480316811481494
40.0,65.0,14.462740681987103
40.0,70.0,14.47358891420799
40.0,75.0,14.50320779431881
40.0,80.0,14.542910445095249
40.0,85.0,14.533902028047262
40.0,90.0,14.534958148663772
45.0,-90.0,14.405611173066939
45.0,-85.0,14.347859128650237
45.0,-80.0,14.402374404494715
45.0,-75.0,14.45668286565929
45.0,-70.0,14.40554201659278
45.0,-65.0,14.500974517684776
45.0,-60.0,14.438105509775957
45.0,-55.0,14.451762455977908
45.0,-50.0,14.571347256980744
45.0,-45.0,14.63897987150194
45.0,-40.0,14.763736951999752
45.0,-35.0,14.854228786756394
45.0,-30.0,14.789702361188798
45.0,-25.0,14.758943997014418
45.0,-20.0,14.689230012490647
45.0,-15.0,14.439075026994892
45.0,-10.0,14.522920556767257
45.0,-5.0,14.726447425804428
45.0,0.0,14.982667355757352
45.0,5.0,14.340508067712895
45.0,10.0,14.583460979007082
45.0,15.0,14.541192384999755
45.0,20.0,14.571273017525339
45.0,25.0,14.52180106299497
45.0,30.0,14.471284863242024
45.0,35.0,14.501326471774913
45.0,40.0,14.483254810624105
45.0,45.0,14.454675392586292
45.0,50.0,14.481121960452578
45.0,55.0,14.439270117406666
45.0,60.0,14.513413124335154
45.0,65.0,14.48375210050356
45.0,70.0,14.50215396380947
45.0,75.0,14.51204226794688
45.0,80.0,14.541896398030305
45.0,85.0,14.537549152176554
45.0,90.0,14.534958148663772
50.0,-90.0,14.405611173066939
50.0,-85.0,14.36144215169117
50.0,-80.0,14.421156596645137
50.0,-75.0,14.48046740661631
50.0,-70.0,14.402695217736106
50.0,-65.0,14.463135045434802
50.0,-60.0,14.478380225499999
50.0,-55.0,14.470598262300403
50.0,-50.0,14.676731100594974
50.0,-45.0,14.723994567607667
50.0,-40.0,14.789998700269573
50.0,-35.0,14.80585441256913
50.0,-30.0,14.723466289023039
50.0,-25.0,14.599391434671547
50.0,-20.0,14.386123670569287
50.0,-15.0,14.422219606743889
50.0,-10.0,14.495475906372711
50.0,-5.0,14.444539117412305
50.0,0.0,13.389557790307867
50.0,5.0,14.319147392004854
50.0,10.0,14.624116520310016
50.0,15.0,14.61669817342962
50.0,20.0,14.592041998419985
50.0,25.0,14.499238556769178
50.0,30.0,14.488857556541776
50.0,35.0,14.49187296451256
50.0,40.0,14.475095125076296
50.0,45.0,14.501351804276043
50.0,50.0,14.451842399252243
50.0,55.0,14.472104981280994
50.0,60.0,14.526984948732682
50.0,65.0,14.536422552354276
50.0,70.0,14.491313086260439
50.0,75.0,14.527923689922325
50.0,80.0,14.558060004722124
50.0,85.0,14.538175686291092
50.0,90.0,14.534958148663772
55.0,-90.0,14.405611173066939
55.0,-85.0,14.367969933167723
55.0,-80.0,14.445013567663345
55.0,-75.0,14.465301292168144
55.0,-70.0,14.413894235119091
55.0,-65.0,14.45750226541072
55.0,-60.0,14.575668937092498
55.0,-55.0,14.573879511156377
55.0,-50.0,14.693351407350969
55.0,-45.0,14.63970646072477
55.0,-40.0,14.544221763987135
55.0,-35.0,14.36004997653927
55.0,-30.0,14.292550344084427
55.0,-25.0,14.439107435636151
55.0,-20.0,14.458552690491203
55.0,-15.0,14.48587125952537
55.0,-10.0,14.576971703222569
55.0,-5.0,14.396531023269057
55.0,0.0,12.684191457444825
55.0,5.0,14.183549165437991
55.0,10.0,14.629611672611643
55.0,15.0,14.711677090355444
55.0,20.0,14.67510395310668
55.0,25.0,14.563415860204199
55.0,30.0,14.549037824351423
55.0,35.0,14.550490844825589
55.0,40.0,14.568057078067444
55.0,45.0,14.58494268886334
55.0,50.0,14.504458463295872
55.0,55.0,14.525702162498618
55.0,60.0,14.544765954378667
55.0,65.0,14.523605670638517
55.0,70.0,14.468351855880115
55.0,75.0,14.53914631630483
55.0,80.0,14.554422420133541
55.0,85.0,14.539792741185499
55.0,90.0,14.534958148663772
60.0,-90.0,14.405611173066939
60.0,-85.0,14.383120105308313
60.0,-80.0,14.443929636959398
60.0,-75.0,14.484236194305542
60.0,-70.0,14.37895093442544
60.0,-65.0,14.422397775556416
60.0,-60.0,14.604436453466578
60.0,-55.0,14.673211218691863
60.0,-50.0,14.65702317535212
60.0,-45.0,14.444445160306826
60.0,-40.0,14.315853192250252
60.0,-35.0,14.316524561296223
60.0,-30.0,14.262532778471888
60.0,-25.0,14.353056873640256
60.0,-20.0,14.485080464667034
60.0,-15.0,14.416418042742928
60.0,-10.0,14.479155387420903
60.0,-5.0,14.403549757268156
60.0,0.0,14.416170517159747
60.0,5.0,14.099210714049391
60.0,10.0,14.551797060724123
60.0,15.0,14.634709826079124
60.0,20.0,14.757151653646753
60.0,25.0,14.703755063806586
60.0,30.0,14.66218727986926
60.0,35.0,14.688999478219587
60.0,40.0,14.724100282926319
60.0,45.0,14.671751168995526
60.0,50.0,14.601741255192964
60.0,55.0,14.551204782348972
60.0,60.0,14.537577782449661
60.0,65.0,14.518149869056135
60.0,70.0,14.488082271534749
60.0,75.0,14.55124756577884
60.0,80.0,14.560647136501027
60.0,85.0,14.530141556335424
60.0,90.0,14.534958148663772
65.0,-90.0,14.405611173066939
65.0,-85.0,14.383947928853807
65.0,-80.0,14.465440818934349
65.0,-75.0,14.462640097667673
65.0,-70.0,14.423490596201711
65.0,-65.0,14.4285230530401
65.0,-60.0,14.525593177920259
65.0,-55.0,14.59910148162523
65.0,-50.0,14.513066619338073
65.0,-45.0,14.332395359698927
65.0,-40.0,14.323622741884215
65.0,-35.0,14.362969956610982
65.0,-30.0,14.371961745712197
65.0,-25.0,14.365390134194268
65.0,-20.0,14.47516391609862
65.0,-15.0,14.47967322701155
65.0,-10.0,14.658197033328133
65.0,-5.0,14.305465310351405
65.0,0.0,14.379251041727002
65.0,5.0,14.171758866847252
65.0,10.0,14.408406991692924
65.0,15.0,14.62190289411184
65.0,20.0,14.760212100541555
65.0,25.0,14.791900646226724
65.0,30.0,14.78350363972779
65.0,35.0,14.794329158538435
65.0,40.0,14.754205657989687
65.0,45.0,14.724907926765683
65.0,50.0,14.664527693775272
65.0,55.0,14.523121554345254
65.0,60.0,14.518781043283628
65.0,65.0,14.49664002884988
65.0,70.0,14.54401731918693
65.0,75.0,14.554133986429875
65.0,80.0,14.566783710364561
65.0,85.0,14.523368718838976
65.0,90.0,14.534958148663772
70.0,-90.0,14.405611173066939
70.0,-85.0,14.385093350140036
70.0,-80.0,14.467957194601246
70.0,-75.0,14.506529507379657
70.0,-70.0,14.475865954423984
70.0,-65.0,14.46530445442364
70.0,-60.0,14.571725598953298
70.0,-55.0,14.546308291270622
70.0,-50.0,14.457631021675407
70.0,-45.0,14.32142947601364
70.0,-40.0,14.2802204783861
70.0,-35.0,14.335271726967141
70.0,-30.0,14.42115633327434
70.0,-25.0,14.42443706174223
70.0,-20.0,14.500823326108808
70.0,-15.0,14.583040203736527
70.0,-10.0,14.75171817476194
70.0,-5.0,14.38285143916035
70.0,0.0,12.704099755588228
70.0,5.0,13.628986356514973
70.0,10.0,14.215275276061256
70.0,15.0,14.485513139717629
70.0,20.0,14.655663273150248
70.0,25.0,14.793824823394399
70.0,30.0,14.781666237967764
70.0,35.0,14.763956670583253
70.0,40.0,14.73002653882827
70.0,45.0,14.676212725600642
70.0,50.0,14.61747783350471
70.0,55.0,14.486745231009657
70.0,60.0,14.510338321093794
70.0,65.0,14.524229537388523
70.0,70.0,14.555650465821588
70.0,75.0,14.583384247908167
70.0,80.0,14.573006693788695
70.0,85.0,14.522434245231366
70.0,90.0,14.534958148663772
75.0,-90.0,14.405611173066939
75.0,-85.0,14.41350284768732
75.0,-80.0,14.479377536262339
75.0,-75.0,14.520380089228361
75.0,-70.0,14.529718300391947
75.0,-65.0,14.518502447762465
75.0,-60.0,14.563098546494125
75.0,-55.0,14.557789349801064
75.0,-50.0,14.570667772690799
75.0,-45.0,14.313376895364483
75.0,-40.0,14.348790659589682
75.0,-35.0,14.40367629506487
75.0,-30.0,14.441171840433896
75.0,-25.0,14.526631135988914
75.0,-20.0,14.581520848802676
75.0,-15.0,14.584909503520302
75.0,-10.0,14.57476985387373
75.0,-5.0,14.212326834023337
75.0,0.0,12.707728927092411
75.0,5.0,13.454174936598436
75.0,10.0,14.242825903846157
75.0,15.0,14.270900340550169
75.0,20.0,14.375038614730801
75.0,25.0,14.512718218226174
75.0,30.0,14.580213423535582
75.0,35.0,14.650301897165873
75.0,40.0,14.59176525625572
75.0,45.0,14.613077623516208
75.0,50.0,14.596349402406792
75.0,55.0,14.512249602228843
75.0,60.0,14.51991213344819
75.0,65.0,14.520044319367765
75.0,70.0,14.543711889034393
75.0,75.0,14.602059917774568
75.0,80.0,14.588870370902868
75.0,85.0,14.513335400078144
75.0,90.0,14.534958148663772
80.0,-90.0,14.405611173066939
80.0,-85.0,14.424948258870062
80.0,-80.0,14.489549758682923
80.0,-75.0,14.527212096488068
80.0,-70.0,14.555090228401019
80.0,-65.0,14.548513268029302
80.0,-60.0,14.545224336629865
80.0,-55.0,14.568451402193755
80.0,-50.0,14.58862478543361
80.0,-45.0,14.493958025858063
80.0,-40.0,14.423981514083955
80.0,-35.0,14.452640915284306
80.0,-30.0,14.562803046534412
80.0,-25.0,14.572584396206114
80.0,-20.0,14.661736143779606
80.0,-15.0,14.556536335375432
80.0,-10.0,14.313486352532367
80.0,-5.0,13.113546584197703
80.0,0.0,12.68661022125803
